geneset,gene_count
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,26
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,15
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,21
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,15
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,14
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,26
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,25
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,16
KEGG_GNRH_SIGNALING_PATHWAY,101
KEGG_GRAFT_VERSUS_HOST_DISEASE,41
KEGG_HEDGEHOG_SIGNALING_PATHWAY,56
KEGG_HEMATOPOIETIC_CELL_LINEAGE,87
KEGG_HISTIDINE_METABOLISM,29
KEGG_HOMOLOGOUS_RECOMBINATION,28
KEGG_HUNTINGTONS_DISEASE,183
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,83
KEGG_INOSITOL_PHOSPHATE_METABOLISM,54
KEGG_INSULIN_SIGNALING_PATHWAY,137
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,48
KEGG_JAK_STAT_SIGNALING_PATHWAY,155
KEGG_LEISHMANIA_INFECTION,72
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,116
KEGG_LIMONENE_AND_PINENE_DEGRADATION,10
KEGG_LINOLEIC_ACID_METABOLISM,29
KEGG_LONG_TERM_DEPRESSION,70
KEGG_LONG_TERM_POTENTIATION,70
KEGG_LYSINE_DEGRADATION,44
KEGG_LYSOSOME,121
KEGG_MAPK_SIGNALING_PATHWAY,267
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,25
KEGG_MELANOGENESIS,101
KEGG_MELANOMA,71
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,70
KEGG_MISMATCH_REPAIR,23
KEGG_MTOR_SIGNALING_PATHWAY,52
KEGG_N_GLYCAN_BIOSYNTHESIS,46
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,137
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,272
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,126
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,24
KEGG_NITROGEN_METABOLISM,23
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,62
KEGG_NON_HOMOLOGOUS_END_JOINING,13
KEGG_NON_SMALL_CELL_LUNG_CANCER,54
KEGG_NOTCH_SIGNALING_PATHWAY,47
KEGG_NUCLEOTIDE_EXCISION_REPAIR,44
KEGG_O_GLYCAN_BIOSYNTHESIS,30
KEGG_OLFACTORY_TRANSDUCTION,389
KEGG_ONE_CARBON_POOL_BY_FOLATE,17
KEGG_OOCYTE_MEIOSIS,113
KEGG_OTHER_GLYCAN_DEGRADATION,16
KEGG_OXIDATIVE_PHOSPHORYLATION,133
KEGG_P53_SIGNALING_PATHWAY,68
KEGG_PANCREATIC_CANCER,70
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,16
KEGG_PARKINSONS_DISEASE,131
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,56
KEGG_PATHWAYS_IN_CANCER,325
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,28
KEGG_PENTOSE_PHOSPHATE_PATHWAY,27
KEGG_PEROXISOME,78
KEGG_PHENYLALANINE_METABOLISM,18
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,76
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,41
KEGG_PPAR_SIGNALING_PATHWAY,69
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,16
KEGG_PRIMARY_IMMUNODEFICIENCY,35
KEGG_PRION_DISEASES,35
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,85
KEGG_PROPANOATE_METABOLISM,33
KEGG_PROSTATE_CANCER,89
KEGG_PROTEASOME,47
KEGG_PROTEIN_EXPORT,24
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,23
KEGG_PURINE_METABOLISM,159
KEGG_PYRIMIDINE_METABOLISM,98
KEGG_PYRUVATE_METABOLISM,40
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,213
KEGG_REGULATION_OF_AUTOPHAGY,35
KEGG_RENAL_CELL_CARCINOMA,70
KEGG_RENIN_ANGIOTENSIN_SYSTEM,17
KEGG_RETINOL_METABOLISM,64
KEGG_RIBOFLAVIN_METABOLISM,16
KEGG_RIBOSOME,88
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,71
KEGG_RNA_DEGRADATION,59
KEGG_RNA_POLYMERASE,29
KEGG_SELENOAMINO_ACID_METABOLISM,26
KEGG_SMALL_CELL_LUNG_CANCER,84
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,38
KEGG_SPHINGOLIPID_METABOLISM,39
KEGG_SPLICEOSOME,127
KEGG_STARCH_AND_SUCROSE_METABOLISM,52
KEGG_STEROID_BIOSYNTHESIS,17
KEGG_STEROID_HORMONE_BIOSYNTHESIS,55
KEGG_SULFUR_METABOLISM,13
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,139
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,108
KEGG_TASTE_TRANSDUCTION,52
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,10
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,15
KEGG_TGF_BETA_SIGNALING_PATHWAY,86
KEGG_THYROID_CANCER,29
KEGG_TIGHT_JUNCTION,132
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,102
KEGG_TRYPTOPHAN_METABOLISM,40
KEGG_TYPE_I_DIABETES_MELLITUS,43
KEGG_TYPE_II_DIABETES_MELLITUS,47
KEGG_TYROSINE_METABOLISM,42
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,135
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,11
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,44
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,115
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,44
KEGG_VEGF_SIGNALING_PATHWAY,76
KEGG_VIBRIO_CHOLERAE_INFECTION,54
KEGG_VIRAL_MYOCARDITIS,70
KEGG_WNT_SIGNALING_PATHWAY,151
