"cell_type","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24"
"Immature_B_cell",0.375618304343174,0.231050182058709,0.2526407256198,0.213465810492633,0.274956241571029,0.270498562911282,0.465919086081907,0.325443184255122,0.242050145819347,0.254374416453477,0.306280929260461,0.264930401229748,0.32809537794249,0.331060954959527,0.260158652023858,0.301007576621957,0.164897887393187,0.244121713754648,0.286654493404531,0.33373277346373,0.36423363701379,0.406243067791383,0.356027321674901,0.360094944490248
"Immature_dendritic_cell",0.0825816874358516,-0.0756433284465715,-0.0462528474140005,0.119052728010303,0.143276877463411,-0.0710277995317081,-0.0785938525590373,0.0345205387068204,-0.0910529475226312,0.0310068034695336,-0.089089311375378,0.101511296867924,-0.0279463184952804,0.0166672369441932,0.0241509410819587,-0.0268558479506603,0.00775819167062918,-0.0218959503396609,0.156955045528163,0.284235045838775,0.0647616216243232,0.0756932508920367,-0.0153226787906964,0.11154392063484
"Macrophage",0.0472957498199403,0.0465097247003811,0.0455951657403111,0.0757924362311147,-0.0350691052926414,0.138588488580105,0.126775092155872,0.0626022731033392,-0.0385600428776433,0.0404636543888184,-0.0823492470756465,0.103560516863762,0.00336622036928792,0.0649750184339258,0.118461119433538,0.164515792838938,0.152388167140407,0.168705968963844,0.142319509966791,0.0711271252573025,0.0701713058070286,0.0857526182184293,0.0577668732196014,0.0813774676249175
"Mast_cell",0.312554546790681,0.351906198280664,0.469656245419011,0.35560966968356,0.457493753299406,0.41551777768205,0.34621092453467,0.485324919894199,0.499671856089037,0.447163047875212,0.390692472925649,0.438904521778672,0.505018270986033,0.376682786431842,0.282663768791654,0.288264950431701,0.327102950882377,0.438775096280346,0.355456196513003,0.442046236852886,0.413473993223633,0.429275517661586,0.313844638089583,0.400172155610179
"MDSC",0.114532628100041,0.182977320540227,0.157259224957476,0.109928954661899,0.220841070822347,0.264832890936752,0.146202863415697,0.101769188726952,0.176099272204097,0.171080891413355,0.0515612517788938,0.115652497285949,0.113011900084681,0.251490494983815,0.133913579338119,0.231849492858884,0.205941824526952,0.266831021330727,0.234593514532852,0.227215748195519,0.142571605599607,0.188461444379657,0.282088592641513,0.0993753348532891
"Memory_B_cell",0.418499627829651,0.247818027343906,0.292163166530549,0.572716340640889,0.527153901769193,0.381462191893888,0.357234155239388,0.351310531349124,0.529002254547895,0.470186874193174,0.36602959956865,0.376720325435141,0.295332684018784,0.392521341015816,0.337048381344955,0.452958804417057,0.364097186602891,0.143812065593425,0.277321838518026,0.252261968232287,0.544981961333933,0.428156426694644,0.311564545537764,0.510668319565509
"Monocyte",0.0983972752759973,0.381794812843878,0.0108941187698817,0.123278755220355,0.0968361781702888,0.0973231671425536,0.071955881858667,0.0837671281450941,0.0758531811427641,0.0638361250045199,0.196551143941348,0.105328742662899,0.0929728712223457,0.0665084718331884,0.0754450893457567,0.0645842801818197,0.0795126552931588,0.0754461082046264,0.162735641981851,0.0736095172664849,0.0529322320944425,-0.0135486276123809,0.201878897138809,0.185942957623598
"Natural_killer_cell",0.157390016260861,0.182818487057176,0.197755403993025,0.146416469210446,0.195139649017944,0.0981444761944273,0.135850627686234,0.142495851680818,0.18316436004094,0.158856322775721,-0.0133471823445771,0.19709643356871,0.1671520381513,0.130298836554638,0.0150343041728769,0.159977460259281,0.0846126405876771,0.101199721684061,0.132687657632219,0.137430231307106,0.191925019963605,0.0269872546954347,0.139623652954356,0.114071376251824
"Natural_killer_T_cell",-0.193801351970643,-0.0406349075857885,-0.0785622911323474,-0.172859632323375,-0.199956279631455,-0.0781220652006435,-0.130707397229806,-0.00884198272405506,-0.100817034910253,-0.0749188495652041,-0.00291410264106064,-0.134883303026951,-0.098641748191604,-0.17539830498993,-0.0412835902894122,0.00745064020754533,-0.164938745826373,-0.129676504714838,-0.0652534851745291,-0.161910779462835,-0.120922643647457,-0.177207150645796,-0.091079172817448,-0.0715958196448758
"Neutrophil",-0.331649969055049,-0.281627967006924,-0.427283659359111,-0.321150289747715,-0.331597909667156,-0.208813877840748,-0.184749181484579,-0.308501677967753,-0.265939205856218,-0.213500125168166,-0.246216307059312,-0.285031775523943,-0.228837936732841,-0.307914905850248,-0.0919569007555945,-0.20826848492189,-0.356503650988686,-0.308360854783369,-0.248780151092118,-0.293191570257535,-0.188239441593231,-0.0638445088940727,-0.292295349293128,-0.402696993925112
"Plasmacytoid_dendritic_cell",-0.0332056044277341,-0.251768874128043,-0.0644363726277398,-0.0925919256919865,-0.00557169825552657,-0.0531824463827834,-0.1651454239135,0.0300792772218305,-0.0769919289557974,-0.124543976686032,0.00772309580650845,-0.0691459408613297,-0.0847382932884613,-0.186901225918693,-0.0620067047531331,-0.110747589325489,-0.0945787702084463,-0.0916775605745959,-0.00743944197959258,-0.207312890252473,-0.0279591908098717,-0.017849944595029,-0.131322992137082,-0.252451109465337
"Regulatory_T_cell",0.101286191854214,0.0398692982220892,0.177652974070076,-0.0052115081610865,0.0213319608199424,-0.0352524338919522,0.0435365443302031,0.021382450942751,0.114750291649382,0.0364498608394246,0.000818264816221895,0.0804261759947865,-0.217871466435501,0.0435959589632331,0.0552875011727189,-0.0164912994984256,-0.0447505959916488,0.168350505037686,-0.0512399499996423,0.18928475107762,-0.120405339858347,0.0979350851681088,-0.106960859157617,0.0647696554581175
"T_follicular_helper_cell",0.250628960331282,0.28898094970299,0.297528794976907,0.374677593598169,0.234281246601643,0.202538351302199,0.250411506470179,0.299869257831416,0.163920266997452,0.215576287817731,0.315942437494326,0.313005946451802,0.199639649272819,0.230789043351563,0.270946240978529,0.340132651775079,0.235611366330622,0.208247905335759,0.258467168737969,0.21518707421827,0.196104463042083,0.403288060960375,0.324653861794848,0.256278369945939
"Type_1_T_helper_cell",0.111416865511442,0.0639788519725325,0.199472530494331,0.104003564068434,0.149255704010156,0.145250633780934,0.176329184916758,0.0824305453896428,0.225477940919241,0.0846746712963057,0.0643170285748081,0.152639451242382,0.107000246422633,0.125840703707162,0.0580710188583747,0.137304361016388,0.0803250382401432,0.108633176675431,0.114137278464244,0.0834750233072093,0.104606765539068,0.146344396098894,0.0821282485374663,0.14259151989625
"Type_17_T_helper_cell",0.253241073714708,0.221121152606428,0.185438424760789,0.170567484659101,0.370792771782553,0.403085696674938,0.267577520166946,0.251178197627706,0.371847643286172,0.126560702963338,0.276006162135281,0.240043579319015,0.256807920094451,0.110275747043995,0.325504466681273,0.309045336057969,0.270249984652952,0.33170806553078,0.14371260814955,0.223457408401752,0.280395218066341,0.309270674966777,0.228964809246373,0.374606216020383
"Type_2_T_helper_cell",0.204780605538351,0.159297479944667,0.182451392423432,0.215839125965827,0.202105307683877,0.148374511704263,0.170388366514766,0.241760496908854,0.0961917775504543,0.120687188031853,0.176515618213397,0.0572124393139625,0.107451780997666,0.100432941846128,0.112371787328211,0.14414633720034,0.0537223989423495,0.219275313541598,0.224020317258326,0.110477246947885,0.265492544356171,0.160864598945251,0.232721873442844,0.267408879994054
