"cell_type","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Activated_dendritic_cell","CD56bright_natural_killer_cell","CD56dim_natural_killer_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memeory_CD4_T_cell","Effector_memeory_CD8_T_cell","Eosinophil","Gamma_delta_T_cell","Immature_B_cell","Immature_dendritic_cell","Macrophage","Mast_cell","MDSC","Memory_B_cell","Monocyte","Natural_killer_cell","Natural_killer_T_cell","Neutrophil","Plasmacytoid_dendritic_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_17_T_helper_cell","Type_2_T_helper_cell"
"Eosinophil",0.00782608695652174,-0.123478260869565,-0.0278260869565217,0.0452173913043478,-0.137391304347826,0.114782608695652,-0.132173913043478,0.353913043478261,-0.139130434782609,0.0104347826086957,1,-0.244347826086956,0.191304347826087,-0.0634782608695652,-0.223478260869565,0.166086956521739,-0.0260869565217391,-0.162608695652174,-0.00695652173913043,0.204347826086957,0.166086956521739,0.268695652173913,-0.144347826086957,-0.332173913043478,0.128695652173913,-0.351304347826087,-0.16,0.145217391304348
"Gamma_delta_T_cell",-0.232173913043478,0.0747826086956522,0.126086956521739,0.114782608695652,-0.174782608695652,-0.307826086956522,-0.115652173913043,0.138260869565217,-0.0460869565217391,0.0434782608695652,-0.244347826086956,1,-0.192173913043478,0.0226086956521739,0.22,-0.10695652173913,-0.0530434782608696,0.00695652173913043,0.417391304347826,-0.163478260869565,-0.278260869565217,-0.311304347826087,0.262608695652174,-0.0895652173913043,0.2,0.181739130434783,0.143478260869565,-0.02
"Immature_B_cell",0.129565217391304,-0.0504347826086956,-0.265217391304348,-0.520869565217391,0.0539130434782609,-0.220869565217391,0.0704347826086957,0.0539130434782609,0.1,-0.00608695652173913,0.191304347826087,-0.192173913043478,1,0.200869565217391,-0.0234782608695652,-0.109565217391304,-0.107826086956522,0.0973913043478261,-0.149565217391304,-0.149565217391304,-0.157391304347826,0.261739130434783,0.0504347826086956,-0.0252173913043478,0.0356521739130435,0.161739130434783,0.0817391304347826,0.335652173913043
"Immature_dendritic_cell",0.125217391304348,0.299130434782609,-0.337391304347826,0.262608695652174,-0.28695652173913,0.264347826086957,-0.436521739130435,0.0939130434782609,0.0608695652173913,0.557391304347826,-0.0634782608695652,0.0226086956521739,0.200869565217391,1,0.18,0.0121739130434783,-0.0556521739130435,0.197391304347826,0.0504347826086956,0.0443478260869565,-0.390434782608696,-0.28,0.11304347826087,0.0617391304347826,0.134782608695652,-0.0356521739130435,-0.208695652173913,0.27304347826087
"Macrophage",-0.184347826086956,-0.338260869565217,-0.399130434782609,0.0121739130434783,0.0426086956521739,-0.163478260869565,0.125217391304348,0.202608695652174,-0.182608695652174,0.204347826086957,-0.223478260869565,0.22,-0.0234782608695652,0.18,1,-0.462608695652174,0.364347826086956,-0.173913043478261,-0.14695652173913,-0.430434782608696,0.000869565217391304,0.167826086956522,-0.15304347826087,-0.0382608695652174,0.12,0.0504347826086956,0.181739130434783,0.00347826086956522
"Mast_cell",0.226086956521739,0.400869565217391,0.135652173913043,0.124347826086957,-0.0756521739130435,0.145217391304348,-0.208695652173913,-0.0895652173913043,0.248695652173913,0.337391304347826,0.166086956521739,-0.10695652173913,-0.109565217391304,0.0121739130434783,-0.462608695652174,1,-0.144347826086957,0.0382608695652174,-0.219130434782609,0.403478260869565,-0.103478260869565,-0.148695652173913,0.23304347826087,0.220869565217391,-0.394782608695652,0.359130434782609,0.0513043478260869,-0.0878260869565217
"MDSC",0.0426086956521739,-0.16,-0.207826086956522,0.136521739130435,-0.0860869565217391,-0.13304347826087,0.308695652173913,0.00347826086956522,0.233913043478261,0.126086956521739,-0.0260869565217391,-0.0530434782608696,-0.107826086956522,-0.0556521739130435,0.364347826086956,-0.144347826086957,1,-0.271304347826087,-0.168695652173913,-0.107826086956522,-0.158260869565217,0.0869565217391304,-0.22,-0.0417391304347826,-0.198260869565217,0.116521739130435,-0.0156521739130435,-0.147826086956522
"Memory_B_cell",-0.340869565217391,0.489565217391304,0.0573913043478261,0.0739130434782609,-0.24,0.16695652173913,0.0826086956521739,-0.0504347826086956,-0.138260869565217,0.252173913043478,-0.162608695652174,0.00695652173913043,0.0973913043478261,0.197391304347826,-0.173913043478261,0.0382608695652174,-0.271304347826087,1,-0.150434782608696,0.18695652173913,-0.274782608695652,0.0530434782608696,0.12695652173913,-0.132173913043478,-0.0226086956521739,0.32695652173913,0.275652173913043,0.0547826086956522
"Monocyte",0.0104347826086957,-0.112173913043478,0.26,0.212173913043478,0.113913043478261,0.00869565217391304,-0.336521739130435,0.103478260869565,0.254782608695652,-0.137391304347826,-0.00695652173913043,0.417391304347826,-0.149565217391304,0.0504347826086956,-0.14695652173913,-0.219130434782609,-0.168695652173913,-0.150434782608696,1,-0.0765217391304348,0.202608695652174,-0.312173913043478,-0.0208695652173913,-0.283478260869565,0.225217391304348,-0.300869565217391,-0.0208695652173913,0.244347826086956
"Natural_killer_cell",0.0156521739130435,0.356521739130435,0.453913043478261,0.0521739130434783,-0.190434782608696,0.258260869565217,-0.00956521739130435,0.100869565217391,-0.0591304347826087,0.0469565217391304,0.204347826086957,-0.163478260869565,-0.149565217391304,0.0443478260869565,-0.430434782608696,0.403478260869565,-0.107826086956522,0.18695652173913,-0.0765217391304348,1,-0.0991304347826087,-0.200869565217391,-0.0139130434782609,0.0208695652173913,-0.125217391304348,0.358260869565217,-0.244347826086956,-0.0139130434782609
"Natural_killer_T_cell",0.138260869565217,-0.500869565217391,0.140869565217391,-0.08,0.254782608695652,0.192173913043478,0.031304347826087,0.181739130434783,-0.279130434782609,-0.252173913043478,0.166086956521739,-0.278260869565217,-0.157391304347826,-0.390434782608696,0.000869565217391304,-0.103478260869565,-0.158260869565217,-0.274782608695652,0.202608695652174,-0.0991304347826087,1,0.276521739130435,0.0217391304347826,-0.251304347826087,0.2,-0.333913043478261,0.0382608695652174,0.162608695652174
"Neutrophil",-0.422608695652174,-0.317391304347826,0.0591304347826087,-0.26695652173913,0.028695652173913,0.0643478260869565,0.276521739130435,0.22695652173913,-0.353913043478261,-0.0617391304347826,0.268695652173913,-0.311304347826087,0.261739130434783,-0.28,0.167826086956522,-0.148695652173913,0.0869565217391304,0.0530434782608696,-0.312173913043478,-0.200869565217391,0.276521739130435,1,0.13304347826087,-0.256521739130435,-0.0339130434782609,-0.0339130434782609,0.190434782608696,-0.21304347826087
"Plasmacytoid_dendritic_cell",-0.248695652173913,-0.0365217391304348,0.27304347826087,-0.311304347826087,-0.401739130434783,-0.126086956521739,-0.193913043478261,-0.0426086956521739,-0.0408695652173913,0.199130434782609,-0.144347826086957,0.262608695652174,0.0504347826086956,0.11304347826087,-0.15304347826087,0.23304347826087,-0.22,0.12695652173913,-0.0208695652173913,-0.0139130434782609,0.0217391304347826,0.13304347826087,1,-0.162608695652174,0.106086956521739,0.0782608695652174,0.238260869565217,0.248695652173913
"Regulatory_T_cell",0.29304347826087,0.386086956521739,0.0182608695652174,-0.104347826086957,0.262608695652174,-0.0930434782608696,0.142608695652174,-0.287826086956522,0.151304347826087,0.166086956521739,-0.332173913043478,-0.0895652173913043,-0.0252173913043478,0.0617391304347826,-0.0382608695652174,0.220869565217391,-0.0417391304347826,-0.132173913043478,-0.283478260869565,0.0208695652173913,-0.251304347826087,-0.256521739130435,-0.162608695652174,1,-0.011304347826087,0.331304347826087,0.0460869565217391,-0.157391304347826
"T_follicular_helper_cell",-0.0626086956521739,0.00173913043478261,0.179130434782609,-0.183478260869565,0.184347826086956,0.108695652173913,-0.0834782608695652,0.358260869565217,-0.283478260869565,-0.0678260869565217,0.128695652173913,0.2,0.0356521739130435,0.134782608695652,0.12,-0.394782608695652,-0.198260869565217,-0.0226086956521739,0.225217391304348,-0.125217391304348,0.2,-0.0339130434782609,0.106086956521739,-0.011304347826087,1,-0.141739130434783,-0.236521739130435,0.223478260869565
"Type_1_T_helper_cell",-0.0504347826086956,0.456521739130435,0.224347826086956,-0.135652173913043,0.0156521739130435,-0.0173913043478261,0.16,0.00347826086956522,0.0826086956521739,0.177391304347826,-0.351304347826087,0.181739130434783,0.161739130434783,-0.0356521739130435,0.0504347826086956,0.359130434782609,0.116521739130435,0.32695652173913,-0.300869565217391,0.358260869565217,-0.333913043478261,-0.0339130434782609,0.0782608695652174,0.331304347826087,-0.141739130434783,1,0.252173913043478,-0.0617391304347826
"Type_17_T_helper_cell",-0.373043478260869,-0.0852173913043478,-0.0252173913043478,-0.262608695652174,0.0147826086956522,-0.133913043478261,-0.0139130434782609,-0.223478260869565,0.0408695652173913,0.115652173913043,-0.16,0.143478260869565,0.0817391304347826,-0.208695652173913,0.181739130434783,0.0513043478260869,-0.0156521739130435,0.275652173913043,-0.0208695652173913,-0.244347826086956,0.0382608695652174,0.190434782608696,0.238260869565217,0.0460869565217391,-0.236521739130435,0.252173913043478,1,0.0652173913043478
"Type_2_T_helper_cell",0.233913043478261,0.0139130434782609,-0.128695652173913,-0.209565217391304,-0.174782608695652,0.187826086956522,-0.257391304347826,0.182608695652174,0.173913043478261,0.375652173913043,0.145217391304348,-0.02,0.335652173913043,0.27304347826087,0.00347826086956522,-0.0878260869565217,-0.147826086956522,0.0547826086956522,0.244347826086956,-0.0139130434782609,0.162608695652174,-0.21304347826087,0.248695652173913,-0.157391304347826,0.223478260869565,-0.0617391304347826,0.0652173913043478,1
