"ID","setSize","NES","pvalue","p.adjust"
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS",19,2.52412995844598,7.76356925607148e-13,3.59656914877423e-11
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE",18,2.5067818928584,8.88929664830617e-13,3.89943812972364e-11
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",18,2.5041302770526,1.08943668504544e-12,4.62483444361224e-11
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",62,2.58739000553981,1.33811387214964e-12,5.50299329921541e-11
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",80,2.55708633717361,1.75305118153559e-12,6.99095562091162e-11
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",32,2.6383985335739,2.36226108512015e-12,9.14333996475918e-11
"REACTOME_G0_AND_EARLY_G1",22,2.55657412245916,2.5145322700495e-12,9.45464133538612e-11
"REACTOME_CRISTAE_FORMATION",22,-2.64746136339963,4.55337753725967e-12,1.66451245528715e-10
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES",39,2.58545442248263,1.15645339961745e-11,4.1132234429637e-10
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES",40,2.58666693003908,1.22945886379042e-11,4.14863555063639e-10
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",24,2.54748158064083,1.21228218442657e-11,4.14863555063639e-10
"REACTOME_PHOSPHORYLATION_OF_THE_APC_C",18,2.47329422903022,1.31971235447939e-11,4.3418536462372e-10
"REACTOME_IRON_UPTAKE_AND_TRANSPORT",47,-2.63507592814601,2.54720214600168e-11,8.1758976198493e-10
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",59,2.49014448044277,8.11898878693078e-11,2.54394981990498e-09
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",22,2.4868715319805,1.01155318946012e-10,3.02546363029436e-09
"REACTOME_G1_S_SPECIFIC_TRANSCRIPTION",22,2.48673449124611,1.01155318946012e-10,3.02546363029436e-09
"REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6",58,2.47084015268551,1.6825280408979e-10,4.92045978182587e-09
"REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS",27,2.48658533864618,2.00241641236846e-10,5.72865217103673e-09
"REACTOME_AMINO_ACIDS_REGULATE_MTORC1",37,-2.55234072508981,2.91955370047615e-10,8.17475036133323e-09
"REACTOME_M_PHASE",316,1.97280777262093,3.50687989977424e-10,9.61469572521438e-09
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",29,2.48688409615152,3.8518353270561e-10,1.03449291640935e-08
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",78,2.41832819753854,4.88910261268014e-10,1.28681180765741e-08
"REACTOME_SIGNALING_BY_INSULIN_RECEPTOR",80,-2.46958763957515,5.31651597619636e-10,1.37186961268126e-08
"REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX",15,2.35332580373288,5.93146648570911e-10,1.50111728753715e-08
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",182,2.12265077138823,9.97184134558137e-10,2.47602702090285e-08
"REACTOME_CO_INHIBITION_BY_PD_1",190,2.12590566993745,1.45270327119575e-09,3.5402916757289e-08
"REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION",24,2.44751085140357,1.60616072099753e-09,3.84310456151409e-08
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS",146,2.17617678930884,1.86737426550327e-09,4.38832952393269e-08
"REACTOME_COMPLEX_III_ASSEMBLY",15,-2.47386265154344,3.42694247052337e-09,7.91202858106799e-08
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",18,2.37543109483969,3.86277404610251e-09,8.76450111150155e-08
"REACTOME_ONCOGENE_INDUCED_SENESCENCE",28,2.41130055172691,4.91315796220908e-09,1.09588404716392e-07
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",81,2.29700131734054,5.13628162876481e-09,1.12655777057575e-07
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX",14,2.30513235042132,7.22172088490203e-09,1.55799748926739e-07
"REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION",32,2.41354742539509,1.11093455487077e-08,2.35804818420958e-07
"REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY",17,-2.4322571138279,1.43815745794181e-08,3.00415113436734e-07
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX",32,2.40293097136401,1.51297652083109e-08,3.10463938448862e-07
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX",81,2.25870339431074,1.53344650449666e-08,3.10463938448862e-07
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST",15,2.29327378096283,1.55874150434821e-08,3.10803609048824e-07
"REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS",63,2.32129579378822,2.88497734176794e-08,5.66661221159196e-07
"REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER",45,2.36133156278256,3.16102792303563e-08,6.11751874516895e-07
"REACTOME_MITOCHONDRIAL_BIOGENESIS",63,-2.32470283559474,4.08350161358143e-08,7.73411766330057e-07
"REACTOME_DEUBIQUITINATION",177,2.03051396371621,4.11389237409605e-08,7.73411766330057e-07
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",17,2.30705991495332,4.52853720362219e-08,8.39373938023493e-07
"REACTOME_TCR_SIGNALING",111,2.13474704472985,6.40241779806733e-08,1.17021969753564e-06
"REACTOME_CYTOPROTECTION_BY_HMOX1",44,-2.40336634542597,6.75370836074464e-08,1.21751783599177e-06
"REACTOME_MITOTIC_G2_G2_M_PHASES",147,2.05767835060929,1.24428298169887e-07,2.21280595123746e-06
"REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY",240,1.88877200025517,1.71334635352643e-07,3.00635173498772e-06
"REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",20,2.29002344414907,3.0479114925948e-07,5.27769937401941e-06
"REACTOME_ION_CHANNEL_TRANSPORT",98,-2.13828040616888,3.3940706760855e-07,5.80077533730977e-06
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION",135,-2.0070906190958,3.87587800635508e-07,6.53930186713242e-06
"REACTOME_DOWNSTREAM_TCR_SIGNALING",89,2.16623274225034,4.97135415797814e-07,8.17787758987404e-06
"REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE",106,2.09070503124551,4.93881935230722e-07,8.17787758987404e-06
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1",11,2.17612850275366,7.17553581967637e-07,1.16580310354248e-05
"REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES",141,2.00023252849903,1.1188458293228e-06,1.79561111144976e-05
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION",59,2.14358565917169,1.24606273911914e-06,1.9756850176877e-05
"REACTOME_MITOCHONDRIAL_TRANSLATION",37,-2.25110925638737,1.57227557853838e-06,2.46323173971013e-05
"REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS",128,1.99060161017703,1.91599975264024e-06,2.96641844055831e-05
"REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS",51,2.17313212560624,3.66681350981253e-06,5.54658227461297e-05
"REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS",10,2.12015817101701,3.64658206299216e-06,5.54658227461297e-05
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G1_CELL_CYCLE_ARREST",10,2.11162189716702,5.15774334168757e-06,7.71317072461459e-05
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",28,2.18625213358665,5.64751308647853e-06,8.35070474360196e-05
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS",81,2.02376504354297,7.13433944446456e-06,0.000104319896765726
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21",49,2.09075495327827,8.00587587783268e-06,0.00011577728192558
"REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER",28,2.14018945346731,1.35419458731083e-05,0.000193708704010984
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2",91,1.99201632217377,1.67109858834467e-05,0.000236469434651784
"REACTOME_KEAP1_NFE2L2_PATHWAY",101,1.99005607764758,1.77216086469863e-05,0.000248102521057808
"REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE",50,2.09665978712058,1.79784376254675e-05,0.000249048672790687
"REACTOME_SIGNALING_BY_NOTCH",200,1.77333757098644,1.85247565785808e-05,0.000253943538098045
"REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY",23,2.11771829827094,1.91957276730252e-05,0.000260428635234033
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",15,2.06958706472403,2.22265409385567e-05,0.000298470692603475
"REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS",39,2.10907284048975,2.32178120475728e-05,0.000306937323803249
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS",374,1.59627785050059,2.33235048482712e-05,0.000306937323803249
"REACTOME_ABC_TRANSPORTER_DISORDERS",55,1.99972131774612,2.7454023637672e-05,0.000357056185590429
"REACTOME_SARS_COV_INFECTIONS",402,1.61287518844371,2.76745675761578e-05,0.000357056185590429
"REACTOME_SARS_COV_2_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS",12,2.06366625583739,3.03839367073657e-05,0.000388206414630032
"REACTOME_SARS_COV_1_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS",16,2.09333296127578,3.85119904092465e-05,0.000487324801717004
"REACTOME_SARS_COV_2_HOST_INTERACTIONS",184,1.7639080580071,3.9744624175319e-05,0.000498132622997331
"REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY",29,2.05781877437419,5.48967007464689e-05,0.000681547718701444
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",22,-2.10414331772919,6.62903675330852e-05,0.000815309567042431
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",17,-2.06666596339659,8.47684608348692e-05,0.00102344306842833
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",371,1.58223210973231,8.46187532999498e-05,0.00102344306842833
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6",20,2.06279150274221,0.000102565919531365,0.00122706136457524
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",22,-2.0785763184529,0.000104357086404147,0.00123724257394466
"REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES",150,1.78908959783925,0.000110342154086395,0.00129652031051514
"REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION",33,2.02711268952953,0.000111994199861765,0.00130428643378835
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS",85,1.9085964407861,0.000128476358536072,0.0014831130511708
"REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION",66,1.92072875485771,0.000138213211368599,0.00158163987966154
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2",49,1.95309510168039,0.000139778733180218,0.00158576562814799
"REACTOME_SARS_COV_1_HOST_INTERACTIONS",94,1.84783056715445,0.000142020283482548,0.00159742472703447
"REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",39,2.01530918310979,0.000143934924398371,0.00160524034329031
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",23,-2.05669004327497,0.000147114102457252,0.00162690889776255
"REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT",80,1.89912265694875,0.000158191563569809,0.0017348341471489
"REACTOME_HSF1_DEPENDENT_TRANSACTIVATION",30,1.99954257162481,0.000176734532240345,0.0019064151182647
"REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS",46,1.94277349363542,0.000175965479963884,0.0019064151182647
"REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS",13,1.9740534417858,0.000199206203732698,0.00213134442367668
"REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING",24,2.02480526631362,0.000236737304379108,0.00251247010131376
"REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE",163,-1.64271659185334,0.00024763090091626,0.00260705812484639
"REACTOME_RAF_ACTIVATION",31,1.95541598867674,0.000275614137999787,0.00287863655244222
"REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION",15,1.93653202882346,0.000277860049765861,0.00287924272040845
"REACTOME_SIGNALING_BY_ALK_IN_CANCER",77,1.83774121609673,0.000297201112811106,0.00305559894108918
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",96,1.7987383571146,0.000302719885614361,0.00308821216642247
"REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER",47,1.92085836260726,0.000349015307367068,0.00353255494805504
"REACTOME_SARS_COV_1_INFECTION",132,1.72957429003114,0.000351644907443169,0.00353255494805504
"REACTOME_EVASION_BY_RSV_OF_HOST_INTERFERON_RESPONSES",35,1.94529357522637,0.000354730490105067,0.00353655549225961
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI",14,-2.02948258637366,0.000363029987700482,0.00356527958070025
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",295,1.55242744956089,0.000360746878628037,0.00356527958070025
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",10,1.96053946986469,0.000370315317723382,0.00360988857869608
"REACTOME_SUMOYLATION",141,1.70804868664774,0.000389397355447967,0.00376799205712886
"REACTOME_GLUCURONIDATION",22,-1.98604246819959,0.00040035082755754,0.00384570575960382
"REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS",120,1.73337331541412,0.000415604102622589,0.00396329709457484
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53",278,1.56036601520678,0.000447623181710655,0.00423792882828217
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY",15,1.89774354767246,0.000464678427638272,0.00436797721979976
"REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT",24,1.97411557377728,0.000507270689880805,0.00473452643888751
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",41,1.87666767820966,0.000545723334274711,0.00505754864722197
"REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION",14,1.92509060017393,0.000572339297939668,0.0052305452506153
"REACTOME_UNWINDING_OF_DNA",11,1.92135037286458,0.000571278036984872,0.0052305452506153
"REACTOME_SYNTHESIS_OF_PA",31,-1.96902532837273,0.000580046388433363,0.0052364698474474
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES",14,1.92457911937293,0.000580945742953891,0.0052364698474474
"REACTOME_SARS_COV_2_INFECTION",254,1.55937130405081,0.000587693838855384,0.00526125912880058
"REACTOME_COHESIN_LOADING_ONTO_CHROMATIN",10,1.93519350697615,0.000596302787899046,0.00530225992483205
"REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2",84,1.80377405594625,0.000603725849129143,0.00533223635875136
"REACTOME_ONCOGENIC_MAPK_SIGNALING",60,1.8277493868055,0.000614906216963701,0.00539477721016153
"REACTOME_TP53_REGULATES_METABOLIC_GENES",72,-1.76070086095605,0.000625971201595044,0.00545548411456342
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3",78,1.81485866585337,0.000644015704687324,0.00557582018005604
"REACTOME_PROGRAMMED_CELL_DEATH",180,1.62584266084019,0.000672830391067201,0.005787220880029
"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION",23,1.90615773984187,0.000795882707805079,0.00680117950306158
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1",176,1.62972576528227,0.000851502130989836,0.00722952777021048
"REACTOME_SIGNALING_BY_ACTIVIN",15,1.86022144662049,0.000865401643475302,0.00730043950521473
"REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES",123,1.69750775120872,0.000887897553462326,0.00744250433348039
"REACTOME_PHASE_0_RAPID_DEPOLARISATION",21,1.89155997000962,0.000896188366689381,0.0074463573754936
"REACTOME_PROLACTIN_RECEPTOR_SIGNALING",15,1.8530876525638,0.000899673877434258,0.0074463573754936
"REACTOME_REGULATION_OF_TP53_ACTIVITY",116,1.70515558501729,0.000944951851558853,0.00777222897907157
"REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY",11,1.89378150596253,0.00095537512569403,0.00780915320132511
"REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS",14,1.8845575370039,0.00104654395388988,0.00850155458838944
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",111,1.67187608472576,0.00108299874128248,0.00874371989894322
"REACTOME_MITOTIC_PROMETAPHASE",142,1.64953314647609,0.00109049827533362,0.00875058372157951
"REACTOME_MEIOSIS",97,1.70881965070324,0.00109933356392626,0.00876801800076944
"REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_CELL_CYCLE_AND_PROLIFERATION",17,1.87930205014827,0.00112927629076185,0.00895257589543732
"REACTOME_CA_DEPENDENT_EVENTS",36,1.82216664907322,0.00117054751827263,0.00922419481465138
"REACTOME_G_PROTEIN_MEDIATED_EVENTS",53,1.76749722479374,0.0012627922461045,0.00989187259448522
"REACTOME_DAG_AND_IP3_SIGNALING",40,1.83096764454835,0.00138795588210152,0.0108079878156545
"REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING",100,1.69232030918896,0.00140143430357313,0.010838375481394
"REACTOME_APOPTOSIS",151,1.6222882085948,0.0014083299447708,0.010838375481394
"REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY",13,1.86359288144799,0.00142709788319183,0.0109189582225607
"REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS",27,1.84487622690416,0.00151200155296677,0.0115016996745912
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",28,1.84414569607967,0.00161646394452213,0.0122256698332823
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING",26,1.85992817289088,0.00182650813265058,0.0137353411575324
"REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A",50,1.77936775726454,0.00187262959926012,0.0139230539696402
"REACTOME_TRANSCRIPTIONAL_AND_POST_TRANSLATIONAL_REGULATION_OF_MITF_M_EXPRESSION_AND_ACTIVITY",53,1.73809848823601,0.00186320619240293,0.0139230539696402
"REACTOME_RHO_GTPASE_EFFECTORS",272,1.4755582342879,0.00205958536678229,0.0152270468690197
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION",30,1.80247832911718,0.00213574450076984,0.0157018981173916
"REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS",58,1.75486105047292,0.00227321782985906,0.0166197481338585
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",191,1.55734082522694,0.00236074457235146,0.0171643086033952
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS",88,-1.65202546855697,0.00243364294901675,0.0175971105544288
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",17,-1.8551010915693,0.00245553888140474,0.0176584107537084
"REACTOME_REGULATION_OF_IFNA_IFNB_SIGNALING",26,1.82804486973581,0.002893295479466,0.0206933524509633
"REACTOME_SIGNALING_BY_NODAL",15,1.77985519294551,0.00301369282604078,0.0214379446436198
"REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",127,1.61969293664056,0.00307720818319507,0.021772075102606
"REACTOME_ERKS_ARE_INACTIVATED",13,1.80242913513331,0.00314642416457936,0.0221427497357564
"REACTOME_SIGNALING_BY_INTERLEUKINS",458,1.41012114181753,0.0031980917556728,0.0223866422897096
"REACTOME_COMPLEMENT_CASCADE",115,-1.53956081763043,0.00322613060474282,0.0224634279145056
"REACTOME_MAPK3_ERK1_ACTIVATION",10,1.83104449797354,0.0032527816435835,0.0225297928576626
"REACTOME_GERM_LAYER_FORMATION_AT_GASTRULATION",12,1.81282182194031,0.00353552959117717,0.024359983989472
"REACTOME_MITOTIC_PROPHASE",121,1.58800876462978,0.0039405059132397,0.0270088842803304
"REACTOME_INTERLEUKIN_6_SIGNALING",11,1.78250811867288,0.00414258224868045,0.0282468302552512
"REACTOME_BIOLOGICAL_OXIDATIONS",176,-1.46830878215589,0.00422009117872066,0.0286270102638989
"REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR",18,1.75769811541505,0.00433534976019864,0.0291087769613338
"REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS",15,1.74341637018583,0.00432655812759801,0.0291087769613338
"REACTOME_SIGNALING_BY_ALK",26,1.78589031206608,0.00438575698652972,0.0292977471790513
"REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION",22,-1.78093303222005,0.0044563773435727,0.0294770061532027
"REACTOME_SIGNALING_BY_NOTCH1",59,1.6771577607272,0.00445738922833385,0.0294770061532027
"REACTOME_REPRODUCTION",110,1.57464908886476,0.00492517771076817,0.0324076693368546
"REACTOME_SIGNAL_TRANSDUCTION_BY_L1",21,1.74880045441032,0.00522208780497956,0.0341903858276274
"REACTOME_GBP_MEDIATED_HOST_DEFENSE",12,1.78380047869142,0.00563578836279467,0.0367163241853356
"REACTOME_ION_HOMEOSTASIS",49,1.67885371067783,0.00602269754099953,0.0390436944037211
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",39,-1.74445166336042,0.00606288760880572,0.0391115690842565
"REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION",18,1.72311690101191,0.00628454379668467,0.0403437055435953
"REACTOME_TGFBR3_EXPRESSION",15,1.69030737855549,0.00654171663529998,0.041790772291528
"REACTOME_RHO_GTPASES_ACTIVATE_PKNS",86,1.63470628309232,0.00666682860563882,0.0423842823430951
"REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE",63,1.65231622252966,0.00681631971910188,0.0431205115230873
