"NGenes","Direction","PValue","FDR","ID"
44,"Down",0.00207490219886799,0.00964829522473614,"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"
35,"Up",0.00227982030694706,0.010342599441272,"KEGG_PRIMARY_IMMUNODEFICIENCY"
42,"Down",0.00246562973260209,0.0109192173872378,"KEGG_FATTY_ACID_METABOLISM"
77,"Down",0.00285252910718539,0.0123388468357321,"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
62,"Up",0.0042198608421394,0.017838502650862,"KEGG_COLORECTAL_CANCER"
49,"Down",0.0055949337478004,0.023125726157575,"KEGG_GLYCEROLIPID_METABOLISM"
29,"Up",0.00799367411046045,0.0318188685849117,"KEGG_THYROID_CANCER"
58,"Down",0.00804025173919812,0.0318188685849117,"KEGG_ARACHIDONIC_ACID_METABOLISM"
52,"Down",0.0086733274995699,0.0336091440608334,"KEGG_STARCH_AND_SUCROSE_METABOLISM"
126,"Up",0.00897500655894923,0.0340683922441746,"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY"
22,"Down",0.00972698755398145,0.036184393700811,"KEGG_BETA_ALANINE_METABOLISM"
71,"Up",0.0102518115102181,0.0373889596255015,"KEGG_MELANOMA"
137,"Up",0.0109203239146052,0.0390611586176262,"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY"
54,"Up",0.0130729507271003,0.0458786572686915,"KEGG_NON_SMALL_CELL_LUNG_CANCER"
48,"Up",0.0150990018942522,0.0520076731913132,"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
25,"Down",0.0163170667940448,0.0551813531580425,"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"
325,"Up",0.0175633111197371,0.0583352833619841,"KEGG_PATHWAYS_IN_CANCER"
10,"Down",0.0200527374139132,0.0654352484032956,"KEGG_LIMONENE_AND_PINENE_DEGRADATION"
108,"Up",0.0208073876023446,0.0667271395523463,"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY"
155,"Up",0.0227461410157713,0.0708883419162755,"KEGG_JAK_STAT_SIGNALING_PATHWAY"
133,"Up",0.0228672070697663,0.0708883419162755,"KEGG_CELL_ADHESION_MOLECULES_CAMS"
41,"Up",0.024370603177811,0.0743103637880794,"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS"
26,"Down",0.0351107591391646,0.104659680375528,"KEGG_GALACTOSE_METABOLISM"
72,"Down",0.0354492465788079,0.104659680375528,"KEGG_DRUG_METABOLISM_CYTOCHROME_P450"
38,"Up",0.039533075836082,0.114893001648613,"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT"
62,"Up",0.0468151578045344,0.132806629750873,"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY"
101,"Up",0.0471249331374066,0.132806629750873,"KEGG_MELANOGENESIS"
62,"Down",0.0499218074660585,0.13858889833861,"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"
51,"Down",0.0559806428151159,0.153123522994288,"KEGG_DRUG_METABOLISM_OTHER_ENZYMES"
121,"Down",0.0633675892092148,0.170816979607449,"KEGG_LYSOSOME"
41,"Down",0.0700611450971091,0.184431028013963,"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM"
57,"Up",0.0704010913386633,0.184431028013963,"KEGG_ACUTE_MYELOID_LEUKEMIA"
26,"Down",0.0771005336864429,0.199176378689978,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"
87,"Up",0.0786512362666109,0.200399040350543,"KEGG_ERBB_SIGNALING_PATHWAY"
32,"Down",0.0819586755915599,0.206004238649056,"KEGG_CITRATE_CYCLE_TCA_CYCLE"
70,"Down",0.0845764889850967,0.20974969268304,"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"
34,"Down",0.0901300632539431,0.217786945635778,"KEGG_BUTANOATE_METABOLISM"
13,"Up",0.0901591119029833,0.217786945635778,"KEGG_CIRCADIAN_RHYTHM_MAMMAL"
28,"Down",0.0944800390752918,0.225298554718004,"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"
70,"Up",0.0976009780774071,0.229794707878452,"KEGG_RENAL_CELL_CARCINOMA"
26,"Down",0.139575865547793,0.324513887398619,"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE"
22,"Down",0.174832022843542,0.401466126529615,"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE"
36,"Up",0.181805480324822,0.410905688924101,"KEGG_DNA_REPLICATION"
14,"Down",0.183361140756454,0.410905688924101,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES"
13,"Down",0.203177004102072,0.449891937654588,"KEGG_SULFUR_METABOLISM"
42,"Down",0.21489681590382,0.466819993779315,"KEGG_TYROSINE_METABOLISM"
53,"Up",0.215841502500113,0.466819993779315,"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS"
47,"Up",0.232520529444583,0.497112856053936,"KEGG_NOTCH_SIGNALING_PATHWAY"
56,"Up",0.239204093093459,0.505590469492992,"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION"
16,"Up",0.252464447491526,0.527622328465436,"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"
27,"Down",0.264123851086698,0.541448492871479,"KEGG_PENTOSE_PHOSPHATE_PATHWAY"
44,"Up",0.26490221963067,0.541448492871479,"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION"
40,"Up",0.274515854157704,0.551506086183895,"KEGG_PYRUVATE_METABOLISM"
90,"Up",0.275753043091947,0.551506086183895,"KEGG_GAP_JUNCTION"
55,"Down",0.290542213155532,0.574902677094989,"KEGG_STEROID_HORMONE_BIOSYNTHESIS"
264,"Up",0.29612021877937,0.579772217820661,"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION"
11,"Up",0.300209621960181,0.581656142547852,"KEGG_FOLATE_BIOSYNTHESIS"
15,"Down",0.305967853356916,0.586701244581302,"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS"
32,"Down",0.316768897362316,0.600521110630088,"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"
22,"Down",0.319632204045047,0.600521110630088,"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS"
34,"Down",0.329786423367456,0.613402747463467,"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"
88,"Down",0.340514854324859,0.627086761429938,"KEGG_RIBOSOME"
47,"Up",0.344433373525433,0.628084387016965,"KEGG_TYPE_II_DIABETES_MELLITUS"
71,"Up",0.35080219909258,0.633487466322523,"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY"
159,"Down",0.362477982557362,0.643779098750966,"KEGG_PURINE_METABOLISM"
10,"Down",0.363423684778771,0.643779098750966,"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM"
75,"Up",0.385209052309364,0.669183294594367,"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY"
74,"Down",0.387574459766033,0.669183294594367,"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"
98,"Down",0.388558042022536,0.669183294594367,"KEGG_PYRIMIDINE_METABOLISM"
96,"Up",0.398342346575508,0.675233164481178,"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS"
54,"Up",0.399894797316329,0.675233164481178,"KEGG_INOSITOL_PHOSPHATE_METABOLISM"
52,"Up",0.40296172719038,0.675233164481178,"KEGG_ENDOMETRIAL_CANCER"
15,"Down",0.421475399093762,0.69995021635214,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES"
139,"Up",0.428798074846726,0.705809220544168,"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS"
272,"Down",0.439142207173958,0.716495180125931,"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"
25,"Down",0.453291933943022,0.733150432290453,"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG"
76,"Down",0.468904057528894,0.74950577628766,"KEGG_VEGF_SIGNALING_PATHWAY"
31,"Up",0.47258213768312,0.74950577628766,"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"
21,"Down",0.475492911838408,0.74950577628766,"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
17,"Down",0.488337894818575,0.751722283501348,"KEGG_STEROID_BIOSYNTHESIS"
29,"Down",0.492810266443458,0.751722283501348,"KEGG_RNA_POLYMERASE"
79,"Down",0.49289926038559,0.751722283501348,"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY"
16,"Down",0.493065153694432,0.751722283501348,"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"
389,"Up",0.497116186798769,0.75173667272009,"KEGG_OLFACTORY_TRANSDUCTION"
181,"Up",0.502847086889219,0.754270630333828,"KEGG_ENDOCYTOSIS"
29,"Down",0.510059675373242,0.758968796955384,"KEGG_HISTIDINE_METABOLISM"
199,"Up",0.517880264013594,0.762349289824864,"KEGG_FOCAL_ADHESION"
24,"Up",0.527134846194995,0.762349289824864,"KEGG_DORSO_VENTRAL_AXIS_FORMATION"
101,"Up",0.531015454490024,0.762349289824864,"KEGG_GNRH_SIGNALING_PATHWAY"
132,"Up",0.53945789972508,0.762349289824864,"KEGG_TIGHT_JUNCTION"
40,"Down",0.539716548597234,0.762349289824864,"KEGG_TRYPTOPHAN_METABOLISM"
15,"Down",0.543193419012321,0.762349289824864,"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
46,"Down",0.544095633572796,0.762349289824864,"KEGG_N_GLYCAN_BIOSYNTHESIS"
23,"Down",0.545120728745736,0.762349289824864,"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"
69,"Down",0.551738763303154,0.765846343092437,"KEGG_PPAR_SIGNALING_PATHWAY"
17,"Up",0.561073088825115,0.773034033492381,"KEGG_RENIN_ANGIOTENSIN_SYSTEM"
178,"Up",0.569890201601268,0.77775739811726,"KEGG_CALCIUM_SIGNALING_PATHWAY"
129,"Up",0.572864320118627,0.77775739811726,"KEGG_AXON_GUIDANCE"
16,"Down",0.604499360817086,0.807977905874567,"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM"
115,"Down",0.606285756358239,0.807977905874567,"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION"
67,"Up",0.608155413023868,0.807977905874567,"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"
87,"Up",0.618494042870565,0.81412427463416,"KEGG_APOPTOSIS"
52,"Down",0.62153573654866,0.81412427463416,"KEGG_TASTE_TRANSDUCTION"
35,"Up",0.634192724023375,0.824894032645788,"KEGG_BASE_EXCISION_REPAIR"
25,"Down",0.641307905348318,0.828356044408244,"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
59,"Up",0.649137928767421,0.832687274143037,"KEGG_RNA_DEGRADATION"
47,"Down",0.654463366753787,0.833768398741127,"KEGG_PROTEASOME"
70,"Down",0.664284811355118,0.840523638857496,"KEGG_LONG_TERM_DEPRESSION"
18,"Down",0.674650465672211,0.847180802468449,"KEGG_PHENYLALANINE_METABOLISM"
102,"Up",0.686014602874469,0.847180802468449,"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY"
28,"Up",0.687173915429721,0.847180802468449,"KEGG_HOMOLOGOUS_RECOMBINATION"
39,"Down",0.687797872593902,0.847180802468449,"KEGG_SPHINGOLIPID_METABOLISM"
17,"Down",0.69759012884463,0.847180802468449,"KEGG_ONE_CARBON_POOL_BY_FOLATE"
13,"Up",0.698083223106126,0.847180802468449,"KEGG_NON_HOMOLOGOUS_END_JOINING"
44,"Up",0.701429266559899,0.847180802468449,"KEGG_NUCLEOTIDE_EXCISION_REPAIR"
30,"Down",0.708933078038975,0.85071969364677,"KEGG_O_GLYCAN_BIOSYNTHESIS"
35,"Up",0.717524898335229,0.855510455707389,"KEGG_BASAL_TRANSCRIPTION_FACTORS"
127,"Down",0.72549336709603,0.859501696050074,"KEGG_SPLICEOSOME"
42,"Up",0.744282003985426,0.866600084564656,"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION"
52,"Up",0.747997029081789,0.866600084564656,"KEGG_MTOR_SIGNALING_PATHWAY"
267,"Up",0.751067450536561,0.866600084564656,"KEGG_MAPK_SIGNALING_PATHWAY"
11,"Up",0.754273430757557,0.866600084564656,"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS"
34,"Down",0.75743623959839,0.866600084564656,"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"
23,"Up",0.759439859053972,0.866600084564656,"KEGG_NITROGEN_METABOLISM"
56,"Down",0.766766642280823,0.869625582098983,"KEGG_HEDGEHOG_SIGNALING_PATHWAY"
16,"Up",0.779504524893025,0.878714191697592,"KEGG_RIBOFLAVIN_METABOLISM"
55,"Down",0.789221481431528,0.884308406905206,"KEGG_BASAL_CELL_CARCINOMA"
23,"Down",0.795784244099447,0.886322571272438,"KEGG_MISMATCH_REPAIR"
24,"Up",0.832097830698358,0.921251169701754,"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM"
35,"Down",0.854606610685341,0.927640960486741,"KEGG_PRION_DISEASES"
26,"Down",0.854616269416894,0.927640960486741,"KEGG_SELENOAMINO_ACID_METABOLISM"
213,"Down",0.857164446942254,0.927640960486741,"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON"
16,"Down",0.863186993590975,0.927640960486741,"KEGG_OTHER_GLYCAN_DEGRADATION"
35,"Up",0.865894606500925,0.927640960486741,"KEGG_REGULATION_OF_AUTOPHAGY"
24,"Up",0.870284569654119,0.927640960486741,"KEGG_PROTEIN_EXPORT"
188,"Up",0.872780473576235,0.927640960486741,"KEGG_CHEMOKINE_SIGNALING_PATHWAY"
44,"Down",0.883693180546762,0.933002414895737,"KEGG_LYSINE_DEGRADATION"
137,"Down",0.887857136755621,0.933002414895737,"KEGG_INSULIN_SIGNALING_PATHWAY"
116,"Down",0.893186140036623,0.93332933734164,"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION"
54,"Up",0.903022364228292,0.938336087969063,"KEGG_ARGININE_AND_PROLINE_METABOLISM"
83,"Down",0.909298830620473,0.938746901676544,"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM"
84,"Down",0.913511769911045,0.938746901676544,"KEGG_ECM_RECEPTOR_INTERACTION"
76,"Up",0.922674359682856,0.942952917038523,"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"
78,"Up",0.929586114511455,0.94482523114279,"KEGG_PEROXISOME"
90,"Down",0.946615585848258,0.956904885694435,"KEGG_DILATED_CARDIOMYOPATHY"
55,"Up",0.959495361865577,0.964681823281066,"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY"
50,"Up",0.980317211128814,0.980317211128814,"KEGG_GLUTATHIONE_METABOLISM"
